"idseaConditionFact";"bulk";"texture";"shape";"uniformity";"score";"date";"idspot"
505;3;4;3;1;"5";"2020-06-06 12:00:00";380
506;2;3;3;1;"4";"2020-06-06 14:00:00";380
507;2;3;3;1;"4";"2020-06-06 16:00:00";380
508;3;3;3;1;"4";"2020-06-06 17:00:00";380
509;3;1;4;2;"9";"2020-06-07 07:00:00";386
510;3;1;1;1;"7";"2020-06-07 09:00:00";386
511;2;1;3;2;"8";"2020-06-07 11:00:00";386
512;2;1;2;2;"7";"2020-06-07 14:00:00";386
513;2;1;4;2;"9";"2020-06-07 17:00:00";386
514;2;2;1;0;"3";"2020-06-07 07:00:00";380
515;1;2;3;0;"2";"2020-06-07 09:00:00";380
516;2;2;1;1;"3";"2020-06-07 12:00:00";380
517;1;1;3;2;"6";"2020-06-07 14:00:00";380
518;2;3;4;2;"8";"2020-06-07 16:00:00";380
519;2;2;3;2;"8";"2020-06-08 07:00:00";386
520;2;2;1;1;"5";"2020-06-08 09:00:00";386
521;2;2;2;2;"6";"2020-06-08 10:00:00";386
522;2;1;3;2;"6";"2020-06-08 12:00:00";386
523;1;1;3;2;"6";"2020-06-08 13:00:00";386
524;1;2;3;0;"3";"2020-06-08 17:00:00";386
525;2;2;2;1;"6";"2020-06-08 07:00:00";380
526;1;2;3;1;"4";"2020-06-08 08:00:00";380
527;1;1;3;2;"4";"2020-06-08 11:00:00";380
528;1;2;3;1;"4";"2020-06-08 17:00:00";380
529;1;2;3;1;"4";"2020-06-09 07:00:00";386
530;1;2;3;0;"2";"2020-06-09 08:00:00";386
531;1;2;3;0;"2";"2020-06-09 11:00:00";386
532;0;2;3;0;"1";"2020-06-09 13:00:00";386
533;0;1;3;0;"1";"2020-06-09 17:00:00";386
534;1;2;3;0;"2";"2020-06-09 07:00:00";380
535;1;2;3;0;"2";"2020-06-09 09:00:00";380
536;0;2;3;0;"1";"2020-06-09 10:00:00";380
537;1;1;3;1;"3";"2020-06-09 11:00:00";380
538;0;1;3;1;"1";"2020-06-09 12:00:00";380
539;0;1;3;1;"1";"2020-06-09 17:00:00";380
540;0;1;2;1;"1";"2020-06-10 07:00:00";380
541;1;1;3;1;"3";"2020-06-10 09:00:00";380
542;0;1;3;2;"1";"2020-06-10 10:00:00";380
543;0;1;3;0;"1";"2020-06-10 07:00:00";386
544;0;1;3;1;"1";"2020-06-10 15:00:00";386
545;1;2;1;0;"1";"2020-06-10 17:00:00";386
546;1;2;3;1;"4";"2020-06-11 07:00:00";386
547;0;3;3;0;"1";"2020-06-11 09:00:00";386
548;0;4;3;0;"1";"2020-06-11 12:00:00";386
549;1;2;3;1;"4";"2020-06-11 15:00:00";386
550;0;3;3;0;"1";"2020-06-11 07:00:00";380
551;0;2;3;0;"1";"2020-06-11 11:00:00";380
552;0;1;3;1;"2";"2020-06-11 15:00:00";380
553;0;3;3;0;"1";"2020-06-12 07:00:00";380
554;1;3;3;0;"2";"2020-06-12 08:00:00";380
555;1;3;3;0;"2";"2020-06-12 15:00:00";380
556;0;1;3;1;"1";"2020-06-13 07:00:00";380
557;0;2;3;0;"1";"2020-06-13 09:00:00";380
558;0;1;3;1;"1";"2020-06-13 11:00:00";380
559;0;1;1;1;"1";"2020-06-13 17:00:00";380
560;0;1;1;1;"1";"2020-06-14 07:00:00";380
561;0;1;2;2;"1";"2020-06-14 17:00:00";380
562;0;1;2;1;"1";"2020-06-15 07:00:00";380
563;1;2;3;2;"3";"2020-06-15 10:00:00";380
564;1;1;1;2;"1";"2020-06-15 11:00:00";380
565;1;2;3;1;"2";"2020-06-15 12:00:00";380
566;0;3;3;0;"1";"2020-06-15 14:00:00";380
567;0;2;1;0;"1";"2020-06-15 17:00:00";380
568;1;4;3;0;"1";"2020-06-12 09:00:00";386
569;1;3;3;1;"3";"2020-06-12 11:00:00";386
570;1;2;3;1;"3";"2020-06-12 13:00:00";386
571;0;3;3;0;"1";"2020-06-12 16:00:00";386
572;0;3;3;0;"1";"2020-06-13 07:00:00";386
573;0;2;3;0;"1";"2020-06-13 09:00:00";386
574;1;3;1;1;"1";"2020-06-13 12:00:00";386
575;0;2;3;0;"1";"2020-06-13 15:00:00";386
576;0;3;3;0;"1";"2020-06-13 17:00:00";386
577;0;2;1;0;"1";"2020-06-14 07:00:00";386
578;0;2;1;1;"1";"2020-06-14 17:00:00";386
579;0;1;1;1;"1";"2020-06-15 07:00:00";386
580;1;1;3;2;"2";"2020-06-15 10:00:00";386
581;0;2;1;0;"1";"2020-06-15 12:00:00";386
